date,open,high,low,close,volume
2018-11-23,19.15,19.25,18.75,18.85,20783.0
2018-11-26,19.0,19.299999,18.700001,18.700001,26321.0
2018-11-27,18.799999,19.4,18.75,19.4,35134.0
2018-11-28,19.65,20.25,19.4,20.15,48713.0
2018-11-29,20.75,21.950001,20.6,20.700001,95807.0
2018-11-30,20.6,21.200001,20.299999,20.5,205181.0
2018-12-03,21.4,22.549999,21.200001,22.549999,101425.0
2018-12-04,22.549999,22.85,22.0,22.200001,68878.0
2018-12-05,21.0,21.450001,20.799999,21.049999,58045.0
2018-12-06,20.5,20.700001,19.0,19.1,92804.0
2018-12-07,19.4,19.65,19.200001,19.450001,37123.0
2018-12-10,18.950001,19.35,18.9,19.35,34235.0
2018-12-11,19.5,19.700001,19.15,19.25,24022.0
2018-12-12,19.549999,19.799999,19.35,19.549999,27421.0
2018-12-13,19.700001,19.75,19.4,19.549999,22512.0
2018-12-14,19.450001,19.450001,18.9,19.049999,34059.0
2018-12-17,18.9,19.1,18.549999,18.75,24296.0
2018-12-18,18.4,18.700001,18.299999,18.549999,21053.0
2018-12-19,18.450001,18.65,18.0,18.049999,31412.0
2018-12-20,17.65,17.75,17.1,17.15,39078.0
2018-12-21,17.0,18.25,16.9,17.9,51818.0
2018-12-22,17.9,18.15,17.6,18.1,14872.0
2018-12-24,18.15,18.9,17.9,18.9,34146.0
2018-12-25,18.450001,19.299999,18.25,19.299999,40074.0
2018-12-26,19.450001,19.85,18.450001,18.450001,52004.0
2018-12-27,19.200001,19.299999,18.5,18.65,38851.0
2018-12-28,18.65,18.75,18.299999,18.35,23135.0
2019-01-02,18.549999,18.6,17.75,17.75,38464.0
2019-01-03,17.450001,17.950001,17.35,17.450001,31089.0
2019-01-04,17.35,17.5,16.85,17.5,29658.0
2019-01-07,18.1,18.1,17.9,17.950001,21173.0
2019-01-08,17.6,18.25,17.5,18.15,23881.0
2019-01-09,18.25,18.450001,18.200001,18.200001,20563.0
2019-01-10,18.299999,18.549999,18.200001,18.25,16163.0
2019-01-11,18.5,18.65,18.25,18.25,17999.0
2019-01-14,18.450001,18.65,18.299999,18.35,12604.0
2019-01-15,18.35,18.700001,18.299999,18.6,17922.0
2019-01-16,18.799999,19.6,18.799999,18.950001,78715.0
2019-01-17,18.9,19.35,18.85,19.0,33904.0
2019-01-18,19.299999,19.450001,19.049999,19.200001,19088.0
2019-01-21,19.450001,19.450001,19.200001,19.25,15356.0
2019-01-22,19.299999,19.35,18.9,18.9,14086.0
2019-01-23,18.9,19.200001,18.700001,19.200001,14291.0
2019-01-24,19.299999,19.549999,19.25,19.299999,23045.0
2019-01-25,20.25,20.5,19.799999,19.85,64074.0
2019-01-28,20.049999,20.1,19.85,19.9,21173.0
2019-01-29,19.9,19.9,19.549999,19.6,20473.0
2019-01-30,19.700001,19.75,19.4,19.4,21010.0
2019-02-11,19.6,19.65,19.15,19.200001,16893.0
2019-02-12,19.25,19.65,19.200001,19.4,20307.0
2019-02-13,19.65,20.299999,19.450001,20.25,59295.0
2019-02-14,20.35,20.5,20.0,20.0,33242.0
2019-02-15,20.0,20.299999,19.65,19.65,23268.0
2019-02-18,19.85,20.049999,19.700001,19.85,19684.0
2019-02-19,20.0,20.25,20.0,20.25,35635.0
2019-02-20,20.1,20.15,19.85,19.9,32895.0
2019-02-21,20.0,20.549999,19.9,20.549999,55740.0
2019-02-22,21.299999,22.6,21.299999,22.6,230289.0
2019-02-25,23.299999,24.450001,23.25,23.700001,166754.0
2019-02-26,23.85,24.0,23.0,23.1,85298.0
2019-02-27,23.049999,23.4,22.75,23.35,53663.0
2019-03-04,23.65,23.65,23.0,23.15,35654.0
2019-03-05,23.0,23.0,22.65,22.75,33229.0
2019-03-06,22.75,23.35,22.65,23.1,51289.0
2019-03-07,23.0,23.299999,22.65,22.700001,38505.0
2019-03-08,21.950001,22.0,21.450001,21.6,58369.0
2019-03-11,21.4,22.0,21.35,21.950001,21212.0
2019-03-12,22.299999,22.4,21.799999,21.799999,24300.0
2019-03-13,21.65,21.85,21.049999,21.049999,53282.0
2019-03-14,21.0,21.4,20.65,20.700001,61068.0
2019-03-15,20.85,21.15,20.799999,20.950001,23225.0
2019-03-18,21.15,21.200001,21.0,21.1,16020.0
2019-03-19,21.200001,21.65,21.1,21.4,26514.0
2019-03-20,21.4,21.5,21.200001,21.4,13892.0
2019-03-21,21.5,21.75,21.450001,21.5,27720.0
2019-03-22,21.799999,21.950001,21.35,21.35,29158.0
2019-03-25,20.85,21.049999,20.75,20.799999,18927.0
2019-03-26,20.950001,21.049999,20.799999,20.85,12512.0
2019-03-27,20.85,20.950001,20.700001,20.9,10155.0
2019-03-28,20.9,21.0,20.75,20.75,7652.0
2019-03-29,20.85,20.9,20.65,20.9,10005.0
2019-04-01,21.15,21.549999,21.1,21.25,22879.0
2019-04-02,21.4,21.799999,21.35,21.700001,39931.0
2019-04-03,21.85,22.0,21.65,21.700001,24641.0
2019-04-08,21.85,22.25,21.799999,21.9,41334.0
