date,open,high,low,close,volume
2018-11-23,14.1,14.2,13.85,14.0,19753.0
2018-11-26,14.15,14.35,14.1,14.2,17632.0
2018-11-27,14.35,14.8,14.2,14.8,33655.0
2018-11-28,14.85,15.15,14.8,15.15,44328.0
2018-11-29,15.45,15.65,15.05,15.05,50911.0
2018-11-30,15.05,15.3,15.0,15.0,30450.0
2018-12-03,15.5,16.1,15.4,15.95,65005.0
2018-12-04,16.0,16.0,15.65,15.75,29657.0
2018-12-05,14.95,15.0,14.55,14.9,47416.0
2018-12-06,14.65,14.65,13.95,14.0,50132.0
2018-12-07,14.25,14.4,14.1,14.1,21206.0
2018-12-10,13.8,13.95,13.65,13.85,16929.0
2018-12-11,13.95,14.1,13.85,13.9,11496.0
2018-12-12,14.15,14.3,14.05,14.2,11275.0
2018-12-13,14.3,14.4,14.1,14.4,12632.0
2018-12-14,14.2,14.25,13.75,13.85,24193.0
2018-12-17,13.7,14.1,13.55,13.85,11543.0
2018-12-18,13.75,14.25,13.7,13.9,25923.0
2018-12-19,14.0,14.0,13.7,14.0,21002.0
2018-12-20,13.8,13.95,13.6,13.6,14571.0
2018-12-21,13.55,13.7,13.3,13.6,15545.0
2018-12-22,13.5,13.55,13.45,13.45,3363.0
2018-12-24,13.5,13.8,13.4,13.75,8272.0
2018-12-25,13.5,13.6,13.35,13.45,7258.0
2018-12-26,13.55,13.8,13.45,13.45,9748.0
2018-12-27,13.75,13.9,13.7,13.7,11111.0
2018-12-28,13.75,13.75,13.55,13.55,10072.0
2019-01-02,13.7,13.7,13.25,13.25,14325.0
2019-01-03,13.1,13.15,12.85,12.9,21047.0
2019-01-04,12.7,12.9,12.35,12.9,19623.0
2019-01-07,13.15,13.35,13.1,13.15,17176.0
2019-01-08,13.2,13.2,12.95,13.05,13929.0
2019-01-09,13.2,13.5,13.15,13.4,20267.0
2019-01-10,13.55,13.65,13.4,13.65,13295.0
2019-01-11,13.7,13.75,13.35,13.4,9837.0
2019-01-14,13.5,13.6,13.4,13.55,6228.0
2019-01-15,13.4,13.75,13.4,13.7,11153.0
2019-01-16,13.7,13.9,13.55,13.65,17977.0
2019-01-17,13.65,13.8,13.55,13.7,7993.0
2019-01-18,13.75,13.95,13.65,13.95,13091.0
2019-01-21,14.1,14.2,13.95,14.05,9012.0
2019-01-22,13.95,14.1,13.8,13.8,9593.0
2019-01-23,13.8,13.95,13.7,13.95,8798.0
2019-01-24,13.95,14.1,13.9,14.0,10023.0
2019-01-25,14.35,14.95,14.25,14.7,42550.0
2019-01-28,14.85,14.95,14.7,14.8,15833.0
2019-01-29,14.7,14.7,14.45,14.65,12011.0
2019-01-30,14.7,14.8,14.6,14.7,10313.0
2019-02-11,14.85,14.9,14.5,14.5,13930.0
2019-02-12,14.55,14.75,14.4,14.45,13030.0
2019-02-13,14.55,14.75,14.4,14.7,21244.0
2019-02-14,14.6,14.75,14.5,14.6,19363.0
2019-02-15,14.6,14.75,14.3,14.3,14309.0
2019-02-18,14.4,14.55,14.35,14.4,6388.0
2019-02-19,14.45,14.6,14.4,14.55,8532.0
2019-02-20,14.5,14.55,14.4,14.45,12084.0
2019-02-21,14.55,14.95,14.45,14.9,30791.0
2019-02-22,15.05,15.5,15.05,15.3,71560.0
2019-02-25,15.4,15.9,15.4,15.65,55363.0
2019-02-26,15.75,15.9,15.3,15.3,24192.0
2019-02-27,15.35,15.5,15.1,15.35,13297.0
2019-03-04,15.45,15.45,15.1,15.1,14175.0
2019-03-05,15.0,15.05,14.9,14.95,9438.0
2019-03-06,14.95,15.05,14.85,14.95,11887.0
2019-03-07,14.95,15.0,14.4,14.4,23492.0
2019-03-08,14.25,14.25,13.9,14.2,25806.0
2019-03-11,14.2,14.3,14.05,14.1,13661.0
2019-03-12,14.25,14.35,14.15,14.2,8289.0
2019-03-13,14.2,14.3,14.1,14.15,5530.0
2019-03-14,14.2,14.3,14.1,14.2,6700.0
2019-03-15,14.3,14.4,14.2,14.2,11524.0
2019-03-18,14.3,14.35,14.2,14.3,5800.0
2019-03-19,14.35,14.65,14.3,14.6,21265.0
2019-03-20,14.5,14.6,14.4,14.55,9790.0
2019-03-21,14.55,14.85,14.55,14.8,15284.0
2019-03-22,15.2,15.3,14.85,14.9,21164.0
2019-03-25,14.5,14.65,14.45,14.65,8587.0
2019-03-26,14.8,14.8,14.6,14.6,7338.0
2019-03-27,14.7,14.7,14.6,14.65,4843.0
2019-03-28,14.65,14.75,14.6,14.7,5567.0
2019-03-29,14.8,14.8,14.6,14.75,8479.0
2019-04-01,14.8,14.9,14.75,14.85,12132.0
2019-04-02,14.95,15.15,14.9,15.05,18875.0
2019-04-03,15.1,15.55,14.95,15.5,40677.0
2019-04-08,16.0,16.450001,15.8,16.35,90366.0
2019-04-09,16.6,16.75,16.35,16.450001,55757.0
2019-04-10,16.5,16.65,16.35,16.6,28024.0
2019-04-11,16.700001,17.0,16.1,16.299999,41752.0
2019-04-12,16.15,16.35,15.85,15.9,23405.0
2019-04-15,16.1,16.25,15.95,16.0,14521.0
2019-04-16,16.0,16.200001,15.9,16.200001,12369.0
2019-04-17,16.35,16.9,16.200001,16.799999,52657.0
2019-04-18,17.0,17.0,16.15,16.35,31681.0
2019-04-19,16.549999,16.9,16.549999,16.75,43561.0
2019-04-22,16.950001,17.15,16.700001,16.950001,34209.0
2019-04-23,16.9,16.9,16.5,16.6,16420.0
2019-04-24,16.85,16.950001,16.5,16.6,16638.0
2019-04-25,16.950001,17.0,16.6,16.65,39933.0
2019-04-26,16.5,16.5,16.15,16.299999,25773.0
2019-04-29,16.4,16.4,15.8,15.95,16811.0
2019-04-30,15.9,16.1,15.9,16.049999,9045.0
2019-05-02,16.049999,16.15,16.0,16.0,6398.0
2019-05-03,16.0,16.299999,16.0,16.25,10783.0
2019-05-06,16.0,16.0,15.8,15.9,13121.0
2019-05-07,16.0,16.25,16.0,16.1,13059.0
2019-05-08,15.8,16.049999,15.7,16.049999,11595.0
2019-05-09,15.9,16.0,15.2,15.35,26292.0
2019-05-10,15.5,15.65,14.8,15.0,29212.0
2019-05-13,15.0,15.0,14.3,14.35,21786.0
2019-05-14,14.1,14.45,14.0,14.15,30773.0
2019-05-15,14.35,14.5,14.2,14.25,23051.0
2019-05-16,14.3,14.3,14.0,14.0,13624.0
2019-05-17,14.2,14.25,13.85,13.85,16423.0
2019-05-20,13.9,14.05,13.9,13.95,7818.0
2019-05-21,13.8,14.1,13.6,14.1,14410.0
2019-05-22,14.15,14.25,14.05,14.1,8277.0
2019-05-23,14.0,14.0,13.6,13.8,13243.0
2019-05-24,13.85,13.95,13.75,13.8,9343.0
2019-05-27,13.95,13.95,13.6,13.65,9532.0
2019-05-28,13.8,13.8,13.65,13.75,13120.0
2019-05-29,13.65,13.9,13.55,13.8,8340.0
2019-05-30,13.85,14.05,13.8,14.05,13021.0
2019-05-31,14.0,14.4,13.95,14.25,14156.0
2019-06-03,14.0,14.15,13.85,14.15,12342.0
