,Oper. Margin,Profit Margin,EPS this Y,Sales Q/Q,EPS Q/Q,EPS next Q,Payout,Book/sh,ROE,ROA,LT Debt/Eq,P/E,Forward P/E,Recom,Perf Week,Perf Month,Perf Quarter,Prev Close,SMA20,Target Price,P/B,Growth %,Leverage
ASML,21.3,20.6,26.9,7.6,7.0,2.67,42.6,31.61,19.0,11.1,0.26,46.93,30.39,1.8,2.87,8.36,27.48,274.97,2.48,272.0,8.698829484340399,10.905999999999999,1.7117117117117118
LMT,14.1,10.3,34.3,6.0,10.2,5.01,41.5,13.8,225.8,12.6,3.25,18.83,16.22,2.1,3.06,4.37,3.44,393.55,4.08,402.89,28.518115942028984,132.09300000000002,17.92063492063492
RTN,16.4,11.5,34.8,9.4,36.9,3.13,30.9,46.51,27.2,10.2,0.33,18.78,16.84,2.0,1.41,9.8,22.15,218.88,2.51,228.07,4.7060847129649535,18.795199999999998,2.666666666666667
AAPL,24.6,21.2,2.6,1.8,12.7,4.51,25.1,20.15,53.8,16.1,1.01,22.42,17.88,2.2,2.16,12.95,26.34,265.76,4.73,255.51,13.18908188585608,40.2962,3.3416149068322976
MSFT,35.2,31.7,22.2,13.7,21.9,1.32,34.3,13.89,41.6,15.1,0.7,30.02,24.73,1.6,2.75,7.36,8.35,149.97,3.82,160.16,10.796976241900648,27.331200000000003,2.754966887417219
GOOGL,21.4,21.0,36.7,20.0,27.3,12.52,0.0,281.45,17.4,13.1,0.02,29.01,24.69,1.8,1.87,6.44,11.09,1333.54,3.33,1459.33,4.73810623556582,17.4,1.3282442748091603
AMZN,5.4,4.3,335.7,23.7,26.4,4.0,0.0,114.16,22.5,6.2,0.68,78.05,63.82,1.6,2.6,2.68,4.22,1739.49,2.49,2183.86,15.23729852838122,22.5,3.629032258064516
FB,34.5,27.1,22.9,28.6,20.2,2.52,0.0,32.94,20.4,16.1,0.0,31.19,21.27,1.8,2.23,2.47,4.8,195.1,1.83,238.96,5.922890103217973,20.4,1.2670807453416146
JPM,60.7,39.0,31.5,6.5,14.6,2.3,31.4,73.78,14.2,1.2,1.26,12.75,12.26,2.5,0.65,7.63,19.17,129.53,1.66,123.58,1.7556248305773923,9.7412,11.833333333333334
V,65.3,50.7,20.0,12.9,8.7,1.47,14.1,13.46,40.1,16.4,0.57,35.23,24.84,1.8,0.45,1.03,0.02,179.77,0.94,202.43,13.355869242199109,34.4459,2.4451219512195124
JNJ,19.9,17.3,7.6,1.9,54.5,1.87,69.5,22.09,23.8,9.2,0.46,25.73,14.9,2.1,1.46,0.9,2.03,134.94,2.29,150.24,6.108646446355817,7.2589999999999995,2.586956521739131
WMT,3.3,1.6,24.8,1.8,602.3,1.45,71.9,24.65,11.8,3.7,0.63,25.86,22.81,2.1,0.48,0.81,4.45,118.87,0.95,126.68,4.822312373225152,3.3157999999999994,3.189189189189189
XOM,5.3,5.6,48.8,14.5,49.2,0.76,98.5,44.47,7.7,4.1,0.14,20.19,18.06,2.7,2.23,1.54,0.37,69.19,1.65,79.02,1.555880368787947,0.1155,1.878048780487805
BAC,63.1,36.4,49.9,5.6,14.4,0.7,23.0,26.31,10.7,1.1,0.96,12.14,11.06,2.3,0.99,8.82,20.76,32.93,2.06,33.58,1.2516153553781832,8.238999999999999,9.727272727272727
PG,9.0,5.9,60.6,6.6,10.8,1.37,169.3,18.24,8.1,3.4,0.44,74.64,23.05,2.5,0.7,3.35,0.25,120.54,0.17,127.6,6.608552631578949,-5.613300000000001,2.3823529411764706
T,15.8,9.0,84.5,2.5,21.9,0.88,90.7,24.98,8.9,3.0,0.84,18.52,10.94,2.4,0.3,4.47,11.64,39.5,1.75,38.71,1.5812650120096077,0.8276999999999998,2.966666666666667
MA,52.2,42.5,23.7,14.6,13.6,1.88,18.3,4.89,134.8,27.9,1.56,42.13,31.03,1.7,2.14,1.54,0.97,280.78,2.05,312.71,57.419222903885476,110.13160000000002,4.831541218637994
HD,14.3,10.2,30.5,1.2,3.7,2.53,47.4,1.06,0.0,23.3,0.0,23.81,21.66,2.2,1.91,0.22,14.11,237.29,1.44,235.61,223.85849056603772,0.0,0.0
INTC,30.5,27.5,42.3,0.1,0.1,1.25,28.8,16.91,26.0,14.8,0.32,13.58,12.39,2.9,0.53,11.76,22.72,57.96,2.84,56.41,3.4275576581904197,18.512,1.7567567567567566
DIS,25.5,19.4,27.1,32.9,57.9,1.5,19.2,50.21,19.3,8.7,0.4,21.93,23.17,2.0,4.86,9.29,6.93,144.67,8.68,152.2,2.881298546106353,15.5944,2.218390804597701
VZ,18.5,12.3,15.2,0.9,5.5,1.15,61.9,14.24,28.7,5.8,1.73,15.29,12.04,2.6,0.27,1.49,4.4,59.51,1.5,61.96,4.179073033707865,10.9347,4.948275862068965
UNH,8.0,5.6,28.3,6.7,13.3,3.75,28.3,57.95,25.2,8.2,0.7,19.6,16.36,1.8,4.84,10.56,10.09,269.4,8.83,287.08,4.648835202761,18.0684,3.073170731707317
